,id,BARANGAY,PSGC,LAND COVERAGE,RHU,POPULATION DENSITY PER HEXAGON,POIs PER HEXAGON,ROADS,STORM SURGE HAZARD LEVEL,FLOOD HAZARD LEVEL,LANDSLIDE HAZARD LEVEL,LANDCOVER NUMERICAL,HCFAI,Cluster
159,266,Malisbong,PH175109017,Brush/Shrubs,0,84.96152242,0,1,0,1,1,1,765.1462323,MID
160,267,Poblacion (Lumangbayan),PH175109001,Brush/Shrubs,0,52.87419128,0,0,0,2,1,1,438.9270707,LOW
161,268,Poblacion (Lumangbayan),PH175109001,Brush/Shrubs,0,34.95804787,0,0,0,1,1,1,304.3376718,LOW
162,269,Malisbong,PH175109024,Brush/Shrubs,0,52.36063131,0,0,0,2,2,1,413.4866288,LOW
163,270,Ligaya,PH175109024,Annual Crop,0,93.48990885,1,1,0,1,1,0,837.2766547,MID
164,271,Pag-Asa,PH175109023,Open Forest,0,112.1362813,0,1,0,2,2,0,885.5289129,MID
165,272,Pag-Asa,PH175109023,Open Forest,0,44.22051811,1,1,0,1,2,0,378.1450463,LOW
166,273,San Agustin,PH175109023,Annual Crop,0,28.87562752,1,1,0,1,1,0,258.6042612,LOW
167,274,Pag-Asa,PH175109005,Annual Crop,0,59.38480886,1,1,0,1,1,0,531.8382991,LOW
168,275,Burgos,PH175109008,Annual Crop,0,75.15876897,0,1,3,0,1,0,612.8214684,LOW
169,276,Burgos,PH175109008,Built Up,0,489.7289835,0,1,3,0,,0,,LOW
170,276,Burgos,PH175109008,Built Up,0,489.7289835,0,1,3,0,,0,,LOW
171,276,Burgos,PH175109008,Built Up,0,489.7289835,0,1,3,0,,0,,LOW
172,276,Burgos,PH175109008,Built Up,0,489.7289835,0,1,3,0,,0,,LOW
173,276,Burgos,PH175109008,Built Up,0,489.7289835,0,1,3,0,,0,,LOW
174,294,Malisbong,PH175109007,,0,144.0885627,0,1,0,2,3,0,1116.577324,MID
175,295,Malisbong,PH175109007,Barren,0,136.225268,0,1,0,3,1,0,1110.738905,MID
176,296,Malisbong,PH175109007,Brush/Shrubs,0,140.5917435,0,1,0,1,2,1,1209.278535,MID
177,297,Ligaya,PH175109022,barren,0,211.7267202,2,1,0,3,0,0,3059.619144,HIGH
178,298,Ligaya,PH175109004,Annual Crop,0,173.7971649,1,1,0,3,0,0,2468.057676,HIGH
179,299,Malisbong,PH175109014,annual Crop,0,186.2113597,0,1,0,1,0,0,2700.604459,HIGH
180,300,Ligaya,PH175109014,annual Crop,0,201.1806844,0,1,0,1,0,0,2917.703056,HIGH
181,301,Malisbong,PH175109017,Brush/Shrubs,0,114.4351158,0,1,0,1,2,1,984.2962731,MID
182,302,Ligaya,PH175109017,Brush/Shrubs,0,44.4528141,0,0,0,2,2,1,351.0393932,LOW
183,303,Claudio Salgado,PH175109001,Brush/Shrubs,0,28.25935555,0,0,0,2,2,1,223.1612829,LOW
184,304,Claudio Salgado,PH175109001,Annual Crop,0,54.77282715,0,1,0,2,1,0,454.6883081,LOW
185,305,Claudio Salgado,PH175109001,Built Up,0,186.9453913,1,1,0,2,2,0,1523.025263,MID
186,306,San Agustin,PH175109023,Open Forest,0,46.21413803,0,1,0,2,2,0,364.9483908,LOW
187,307,San Agustin,PH175109023,Open Forest,0,26.57545853,0,0,0,1,2,0,212.6394963,LOW
188,308,Batong Buhay,PH175109023,Open Forest,0,26.94951916,0,1,0,0,1,0,390.8461424,LOW
189,309,Pag-Asa,PH175109008,Open Forest,0,24.38389778,0,0,0,0,1,0,346.3220264,LOW
190,310,Pag-Asa,PH175109008,Annual Crop,0,33.97217369,0,1,0,0,1,0,492.6949886,LOW
191,311,Pag-Asa,PH175109008,Built Up,1,203.3147863,5,1,2,0,0,0,0,LOW
192,311,Pag-Asa,PH175109008,Built Up,1,203.3147863,5,1,2,0,0,0,0,LOW
193,311,Pag-Asa,PH175109008,Built Up,1,203.3147863,5,1,2,0,0,0,0,LOW
194,311,Pag-Asa,PH175109008,Built Up,1,203.3147863,5,1,2,0,0,0,0,LOW
195,311,Pag-Asa,PH175109008,Built Up,1,203.3147863,5,1,2,0,0,0,0,LOW
196,311,Pag-Asa,PH175109008,Built Up,1,203.3147863,5,1,2,0,0,0,0,LOW
197,311,Pag-Asa,PH175109008,Built Up,1,203.3147863,5,1,2,0,0,0,0,LOW
198,311,Pag-Asa,PH175109008,Built Up,1,203.3147863,5,1,2,0,0,0,0,LOW
199,311,Pag-Asa,PH175109008,Built Up,1,203.3147863,5,1,2,0,0,0,0,LOW
200,311,Pag-Asa,PH175109008,Built Up,1,203.3147863,5,1,2,0,0,0,0,LOW
201,312,Pag-Asa,PH175109008,Built Up,0,500.2253525,1,1,3,0,3,0,3927.563026,HIGH
202,313,Batong Buhay,PH175109003,,0,51.93804889,0,0,3,0,2,0,386.8991608,LOW
203,329,Malisbong,PH175109007,,0,112.8196498,0,1,0,2,3,0,874.2669112,MID
204,330,Malisbong,PH175109007,barren,0,124.8660787,0,0,0,3,2,0,930.1577956,MID
205,331,Ligaya,PH175109007,Brush/Shrubs,0,175.9283009,0,0,0,1,2,1,1460.442078,MID
206,332,Burgos,PH175109022,barren,0,151.6514562,0,1,0,3,0,0,2115.658172,MID
207,333,Ligaya,PH175109004,Grassland,0,122.8277397,0,1,0,1,0,1,1818.20657,MID
208,334,Ligaya,PH175109014,Built Up,0,343.697876,4,1,0,1,2,0,3196.853608,HIGH
209,335,Burgos,PH175109014,Built Up,0,361.9338341,0,1,0,2,2,0,2858.155014,HIGH
210,336,Burgos,PH175109014,Brush/Shrubs,0,110.1045284,0,1,0,2,2,1,902.5157235,MID
211,337,Poblacion (Lumangbayan),PH175109001,Brush/Shrubs,0,41.91342036,0,0,0,2,2,1,330.9860567,LOW
212,338,Poblacion (Lumangbayan),PH175109001,Annual Crop,0,47.23997116,0,1,0,3,2,0,366.0740283,LOW
213,339,Batong Buhay,PH175109023,Grassland,0,114.9148226,0,1,0,3,2,1,924.9773617,MID
214,340,Batong Buhay,PH175109023,Open Forest,0,141.0898104,0,1,0,3,2,0,1093.339263,MID
215,341,Batong Buhay,PH175109023,Open Forest,0,22.27457476,0,0,0,2,2,0,169.2176997,LOW
216,342,Malisbong,PH175109023,Open Forest,0,17.96354294,1,1,0,0,2,0,257.7489907,LOW
217,343,Pag-Asa,PH175109008,Open Forest,0,18.67279466,0,0,0,0,1,0,265.2078082,LOW
