id,X,Y
"197",480343.451417543,1421391.72824415
"198",480343.451417543,1419741.72824415
"199",480343.451417543,1418091.72824415
"200",480343.451417543,1416441.72824415
"201",480343.451417543,1414791.72824415
"202",480343.451417543,1413141.72824415
"203",480343.451417543,1411491.72824415
"204",480343.451417543,1409841.72824415
"205",480343.451417543,1408191.72824415
"206",480343.451417543,1406541.72824415
"224",481772.393333787,1435416.72824415
"225",481772.393333787,1433766.72824415
"226",481772.393333787,1432116.72824415
"227",481772.393333787,1430466.72824415
"228",481772.393333787,1428816.72824415
"229",481772.393333787,1427166.72824415
"230",481772.393333787,1425516.72824415
"231",481772.393333787,1423866.72824415
"232",481772.393333787,1422216.72824415
"233",481772.393333787,1420566.72824415
"234",481772.393333787,1418916.72824415
"235",481772.393333787,1417266.72824415
"236",481772.393333787,1415616.72824415
"237",481772.393333787,1413966.72824415
"238",481772.393333787,1412316.72824415
"239",481772.393333787,1410666.72824415
"240",481772.393333787,1409016.72824415
"241",481772.393333787,1407366.72824415
"258",483201.335250032,1436241.72824415
"259",483201.335250032,1434591.72824415
"260",483201.335250032,1432941.72824415
"261",483201.335250032,1431291.72824415
"262",483201.335250032,1429641.72824415
"263",483201.335250032,1427991.72824415
"264",483201.335250032,1426341.72824415
"265",483201.335250032,1424691.72824415
"266",483201.335250032,1423041.72824415
"267",483201.335250032,1421391.72824415
"268",483201.335250032,1419741.72824415
"269",483201.335250032,1418091.72824415
"270",483201.335250032,1416441.72824415
"271",483201.335250032,1414791.72824415
"272",483201.335250032,1413141.72824415
"273",483201.335250032,1411491.72824415
"274",483201.335250032,1409841.72824415
"275",483201.335250032,1408191.72824415
"276",483201.335250032,1406541.72824415
"294",484630.277166276,1435416.72824415
"295",484630.277166276,1433766.72824415
"296",484630.277166276,1432116.72824415
"297",484630.277166276,1430466.72824415
"298",484630.277166276,1428816.72824415
"299",484630.277166276,1427166.72824415
"300",484630.277166276,1425516.72824415
"301",484630.277166276,1423866.72824415
"302",484630.277166276,1422216.72824415
"303",484630.277166276,1420566.72824415
"304",484630.277166276,1418916.72824415
"305",484630.277166276,1417266.72824415
"306",484630.277166276,1415616.72824415
"307",484630.277166276,1413966.72824415
"308",484630.277166276,1412316.72824415
"309",484630.277166276,1410666.72824415
"310",484630.277166276,1409016.72824415
"311",484630.277166276,1407366.72824415
"312",484630.277166276,1405716.72824415
"313",484630.277166276,1404066.72824415
"329",486059.21908252,1434591.72824415
"330",486059.21908252,1432941.72824415
"331",486059.21908252,1431291.72824415
"332",486059.21908252,1429641.72824415
"333",486059.21908252,1427991.72824415
"334",486059.21908252,1426341.72824415
"335",486059.21908252,1424691.72824415
"336",486059.21908252,1423041.72824415
"337",486059.21908252,1421391.72824415
"338",486059.21908252,1419741.72824415
"339",486059.21908252,1418091.72824415
"340",486059.21908252,1416441.72824415
"341",486059.21908252,1414791.72824415
"342",486059.21908252,1413141.72824415
"343",486059.21908252,1411491.72824415
"344",486059.21908252,1409841.72824415
"345",486059.21908252,1408191.72824415
"346",486059.21908252,1406541.72824415
"347",486059.21908252,1404891.72824415
"348",486059.21908252,1403241.72824415
"349",486059.21908252,1401591.72824415
"366",487488.160998765,1432116.72824415
"367",487488.160998765,1430466.72824415
"368",487488.160998765,1428816.72824415
"369",487488.160998765,1427166.72824415
"370",487488.160998765,1425516.72824415
"371",487488.160998765,1423866.72824415
"372",487488.160998765,1422216.72824415
"373",487488.160998765,1420566.72824415
"374",487488.160998765,1418916.72824415
"375",487488.160998765,1417266.72824415
"376",487488.160998765,1415616.72824415
"377",487488.160998765,1413966.72824415
"378",487488.160998765,1412316.72824415
"379",487488.160998765,1410666.72824415
"380",487488.160998765,1409016.72824415
"381",487488.160998765,1407366.72824415
"382",487488.160998765,1405716.72824415
"383",487488.160998765,1404066.72824415
"384",487488.160998765,1402416.72824415
"385",487488.160998765,1400766.72824415
"399",488917.102915009,1434591.72824415
"400",488917.102915009,1432941.72824415
"401",488917.102915009,1431291.72824415
"402",488917.102915009,1429641.72824415
"403",488917.102915009,1427991.72824415
"404",488917.102915009,1426341.72824415
"405",488917.102915009,1424691.72824415
"406",488917.102915009,1423041.72824415
"407",488917.102915009,1421391.72824415
"408",488917.102915009,1419741.72824415
"409",488917.102915009,1418091.72824415
"410",488917.102915009,1416441.72824415
"411",488917.102915009,1414791.72824415
"412",488917.102915009,1413141.72824415
"413",488917.102915009,1411491.72824415
"414",488917.102915009,1409841.72824415
"415",488917.102915009,1408191.72824415
"416",488917.102915009,1406541.72824415
"417",488917.102915009,1404891.72824415
"418",488917.102915009,1403241.72824415
"419",488917.102915009,1401591.72824415
"431",490346.044831253,1440366.72824415
"432",490346.044831253,1438716.72824415
"433",490346.044831253,1437066.72824415
"434",490346.044831253,1435416.72824415
"435",490346.044831253,1433766.72824415
"436",490346.044831253,1432116.72824415
"437",490346.044831253,1430466.72824415
"438",490346.044831253,1428816.72824415
"439",490346.044831253,1427166.72824415
"440",490346.044831253,1425516.72824415
"441",490346.044831253,1423866.72824415
"442",490346.044831253,1422216.72824415
"443",490346.044831253,1420566.72824415
"444",490346.044831253,1418916.72824415
"445",490346.044831253,1417266.72824415
"446",490346.044831253,1415616.72824415
"447",490346.044831253,1413966.72824415
"448",490346.044831253,1412316.72824415
"449",490346.044831253,1410666.72824415
"450",490346.044831253,1409016.72824415
"451",490346.044831253,1407366.72824415
"452",490346.044831253,1405716.72824415
"453",490346.044831253,1404066.72824415
"454",490346.044831253,1402416.72824415
"464",491774.986747497,1442841.72824415
"465",491774.986747497,1441191.72824415
"466",491774.986747497,1439541.72824415
"467",491774.986747497,1437891.72824415
"468",491774.986747497,1436241.72824415
"469",491774.986747497,1434591.72824415
