,HCFAI,Accessibility,
322,353.3866234,Cluster 0,1
323,116.8199116,Cluster 0,1
324,105.3084839,Cluster 0,1
325,116.1861558,Cluster 0,1
326,127.3136314,Cluster 0,1
327,143.5294087,Cluster 0,1
328,152.4638156,Cluster 0,1
329,317.8426067,Cluster 0,1
330,471.5331732,Cluster 0,1
331,479.7433358,Cluster 0,1
332,127.9584985,Cluster 0,1
333,145.845209,Cluster 0,1
334,164.2461827,Cluster 0,1
335,159.3250959,Cluster 0,1
336,209.1644426,Cluster 0,1
337,496.7564344,Cluster 0,1
338,153.2626216,Cluster 0,1
339,133.531957,Cluster 0,1
340,239.374715,Cluster 0,1
341,125.4070981,Cluster 0,1
342,94.11271853,Cluster 0,1
343,100.4990011,Cluster 0,1
344,165.645332,Cluster 0,1
345,208.4422469,Cluster 0,1
346,223.2565633,Cluster 0,1
347,251.230687,Cluster 0,1
348,439.5955325,Cluster 0,1
349,609.102486,Cluster 0,1
350,777.4874627,Cluster 3,4
351,750.9670435,Cluster 3,4
352,1828.260102,Cluster 3,4
353,315.0132702,Cluster 0,1
354,194.6870213,Cluster 0,1
355,106.1084319,Cluster 0,1
356,82.29834428,Cluster 0,1
357,104.3489293,Cluster 0,1
358,153.3827791,Cluster 0,1
359,149.5813426,Cluster 0,1
360,305.5362745,Cluster 0,1
361,400.7592504,Cluster 0,1
362,451.2438264,Cluster 0,1
363,120.942477,Cluster 0,1
364,118.8227784,Cluster 0,1
365,142.9963267,Cluster 0,1
366,161.4515764,Cluster 0,1
367,173.4675344,Cluster 0,1
368,150.9602523,Cluster 0,1
369,253.3762164,Cluster 0,1
370,249.7113025,Cluster 0,1
371,133.457905,Cluster 0,1
372,142.07098,Cluster 0,1
373,152.5089667,Cluster 0,1
374,107.490975,Cluster 0,1
375,86.62829015,Cluster 0,1
376,126.985242,Cluster 0,1
377,174.9651538,Cluster 0,1
378,174.4490717,Cluster 0,1
379,205.174991,Cluster 0,1
380,366.4114658,Cluster 0,1
