fid,id,left,top,right,bottom
260,260,482248.707305868621916,1433766.728244151687250,484153.963194194366224,1432116.728244151687250
261,261,482248.707305868621916,1432116.728244151687250,484153.963194194366224,1430466.728244151687250
262,262,482248.707305868621916,1430466.728244151687250,484153.963194194366224,1428816.728244151687250
263,263,482248.707305868621916,1428816.728244151687250,484153.963194194366224,1427166.728244151687250
264,264,482248.707305868621916,1427166.728244151687250,484153.963194194366224,1425516.728244151687250
265,265,482248.707305868621916,1425516.728244151687250,484153.963194194366224,1423866.728244151687250
266,266,482248.707305868621916,1423866.728244151687250,484153.963194194366224,1422216.728244151687250
267,267,482248.707305868621916,1422216.728244151687250,484153.963194194366224,1420566.728244151687250
268,268,482248.707305868621916,1420566.728244151687250,484153.963194194366224,1418916.728244151687250
269,269,482248.707305868621916,1418916.728244151687250,484153.963194194366224,1417266.728244151687250
270,270,482248.707305868621916,1417266.728244151687250,484153.963194194366224,1415616.728244151687250
271,271,482248.707305868621916,1415616.728244151687250,484153.963194194366224,1413966.728244151687250
272,272,482248.707305868621916,1413966.728244151687250,484153.963194194366224,1412316.728244151687250
273,273,482248.707305868621916,1412316.728244151687250,484153.963194194366224,1410666.728244151687250
274,274,482248.707305868621916,1410666.728244151687250,484153.963194194366224,1409016.728244151687250
275,275,482248.707305868621916,1409016.728244151687250,484153.963194194366224,1407366.728244151687250
276,276,482248.707305868621916,1407366.728244151687250,484153.963194194366224,1405716.728244151687250
294,294,483677.649222112959251,1436241.728244151687250,485582.905110438761767,1434591.728244151920080
295,295,483677.649222112959251,1434591.728244151920080,485582.905110438761767,1432941.728244151687250
296,296,483677.649222112959251,1432941.728244151687250,485582.905110438761767,1431291.728244151687250
297,297,483677.649222112959251,1431291.728244151687250,485582.905110438761767,1429641.728244151687250
298,298,483677.649222112959251,1429641.728244151687250,485582.905110438761767,1427991.728244151920080
299,299,483677.649222112959251,1427991.728244151920080,485582.905110438761767,1426341.728244151687250
300,300,483677.649222112959251,1426341.728244151687250,485582.905110438761767,1424691.728244151687250
301,301,483677.649222112959251,1424691.728244151687250,485582.905110438761767,1423041.728244151687250
302,302,483677.649222112959251,1423041.728244151687250,485582.905110438761767,1421391.728244151920080
303,303,483677.649222112959251,1421391.728244151920080,485582.905110438761767,1419741.728244151687250
304,304,483677.649222112959251,1419741.728244151687250,485582.905110438761767,1418091.728244151687250
305,305,483677.649222112959251,1418091.728244151687250,485582.905110438761767,1416441.728244151687250
306,306,483677.649222112959251,1416441.728244151687250,485582.905110438761767,1414791.728244151920080
307,307,483677.649222112959251,1414791.728244151920080,485582.905110438761767,1413141.728244151687250
308,308,483677.649222112959251,1413141.728244151687250,485582.905110438761767,1411491.728244151687250
309,309,483677.649222112959251,1411491.728244151687250,485582.905110438761767,1409841.728244151687250
310,310,483677.649222112959251,1409841.728244151687250,485582.905110438761767,1408191.728244151920080
311,311,483677.649222112959251,1408191.728244151920080,485582.905110438761767,1406541.728244151687250
312,312,483677.649222112959251,1406541.728244151687250,485582.905110438761767,1404891.728244151687250
313,313,483677.649222112959251,1404891.728244151687250,485582.905110438761767,1403241.728244151687250
329,329,485106.591138357296586,1435416.728244151687250,487011.847026683099102,1433766.728244151687250
330,330,485106.591138357296586,1433766.728244151687250,487011.847026683099102,1432116.728244151687250
331,331,485106.591138357296586,1432116.728244151687250,487011.847026683099102,1430466.728244151687250
332,332,485106.591138357296586,1430466.728244151687250,487011.847026683099102,1428816.728244151687250
333,333,485106.591138357296586,1428816.728244151687250,487011.847026683099102,1427166.728244151687250
334,334,485106.591138357296586,1427166.728244151687250,487011.847026683099102,1425516.728244151687250
335,335,485106.591138357296586,1425516.728244151687250,487011.847026683099102,1423866.728244151687250
336,336,485106.591138357296586,1423866.728244151687250,487011.847026683099102,1422216.728244151687250
337,337,485106.591138357296586,1422216.728244151687250,487011.847026683099102,1420566.728244151687250
338,338,485106.591138357296586,1420566.728244151687250,487011.847026683099102,1418916.728244151687250
339,339,485106.591138357296586,1418916.728244151687250,487011.847026683099102,1417266.728244151687250
340,340,485106.591138357296586,1417266.728244151687250,487011.847026683099102,1415616.728244151687250
341,341,485106.591138357296586,1415616.728244151687250,487011.847026683099102,1413966.728244151687250
342,342,485106.591138357296586,1413966.728244151687250,487011.847026683099102,1412316.728244151687250
343,343,485106.591138357296586,1412316.728244151687250,487011.847026683099102,1410666.728244151687250
344,344,485106.591138357296586,1410666.728244151687250,487011.847026683099102,1409016.728244151687250
345,345,485106.591138357296586,1409016.728244151687250,487011.847026683099102,1407366.728244151687250
346,346,485106.591138357296586,1407366.728244151687250,487011.847026683099102,1405716.728244151687250
347,347,485106.591138357296586,1405716.728244151687250,487011.847026683099102,1404066.728244151687250
348,348,485106.591138357296586,1404066.728244151687250,487011.847026683099102,1402416.728244151687250
349,349,485106.591138357296586,1402416.728244151687250,487011.847026683099102,1400766.728244151687250
366,366,486535.533054601633921,1432941.728244151687250,488440.788942927436437,1431291.728244151687250
367,367,486535.533054601633921,1431291.728244151687250,488440.788942927436437,1429641.728244151687250
368,368,486535.533054601633921,1429641.728244151687250,488440.788942927436437,1427991.728244151920080
369,369,486535.533054601633921,1427991.728244151920080,488440.788942927436437,1426341.728244151687250
370,370,486535.533054601633921,1426341.728244151687250,488440.788942927436437,1424691.728244151687250
371,371,486535.533054601633921,1424691.728244151687250,488440.788942927436437,1423041.728244151687250
372,372,486535.533054601633921,1423041.728244151687250,488440.788942927436437,1421391.728244151920080
373,373,486535.533054601633921,1421391.728244151920080,488440.788942927436437,1419741.728244151687250
374,374,486535.533054601633921,1419741.728244151687250,488440.788942927436437,1418091.728244151687250
375,375,486535.533054601633921,1418091.728244151687250,488440.788942927436437,1416441.728244151687250
376,376,486535.533054601633921,1416441.728244151687250,488440.788942927436437,1414791.728244151920080
377,377,486535.533054601633921,1414791.728244151920080,488440.788942927436437,1413141.728244151687250
378,378,486535.533054601633921,1413141.728244151687250,488440.788942927436437,1411491.728244151687250
379,379,486535.533054601633921,1411491.728244151687250,488440.788942927436437,1409841.728244151687250
380,380,486535.533054601633921,1409841.728244151687250,488440.788942927436437,1408191.728244151920080
381,381,486535.533054601633921,1408191.728244151920080,488440.788942927436437,1406541.728244151687250
382,382,486535.533054601633921,1406541.728244151687250,488440.788942927436437,1404891.728244151687250
383,383,486535.533054601633921,1404891.728244151687250,488440.788942927436437,1403241.728244151687250
384,384,486535.533054601633921,1403241.728244151687250,488440.788942927436437,1401591.728244151920080
385,385,486535.533054601633921,1401591.728244151920080,488440.788942927436437,1399941.728244151687250
399,399,487964.474970846029464,1435416.728244151687250,489869.730859171773773,1433766.728244151687250
400,400,487964.474970846029464,1433766.728244151687250,489869.730859171773773,1432116.728244151687250
401,401,487964.474970846029464,1432116.728244151687250,489869.730859171773773,1430466.728244151687250
402,402,487964.474970846029464,1430466.728244151687250,489869.730859171773773,1428816.728244151687250
403,403,487964.474970846029464,1428816.728244151687250,489869.730859171773773,1427166.728244151687250
404,404,487964.474970846029464,1427166.728244151687250,489869.730859171773773,1425516.728244151687250
405,405,487964.474970846029464,1425516.728244151687250,489869.730859171773773,1423866.728244151687250
406,406,487964.474970846029464,1423866.728244151687250,489869.730859171773773,1422216.728244151687250
407,407,487964.474970846029464,1422216.728244151687250,489869.730859171773773,1420566.728244151687250
408,408,487964.474970846029464,1420566.728244151687250,489869.730859171773773,1418916.728244151687250
409,409,487964.474970846029464,1418916.728244151687250,489869.730859171773773,1417266.728244151687250
410,410,487964.474970846029464,1417266.728244151687250,489869.730859171773773,1415616.728244151687250
411,411,487964.474970846029464,1415616.728244151687250,489869.730859171773773,1413966.728244151687250
412,412,487964.474970846029464,1413966.728244151687250,489869.730859171773773,1412316.728244151687250
413,413,487964.474970846029464,1412316.728244151687250,489869.730859171773773,1410666.728244151687250
414,414,487964.474970846029464,1410666.728244151687250,489869.730859171773773,1409016.728244151687250
415,415,487964.474970846029464,1409016.728244151687250,489869.730859171773773,1407366.728244151687250
416,416,487964.474970846029464,1407366.728244151687250,489869.730859171773773,1405716.728244151687250
417,417,487964.474970846029464,1405716.728244151687250,489869.730859171773773,1404066.728244151687250
418,418,487964.474970846029464,1404066.728244151687250,489869.730859171773773,1402416.728244151687250
419,419,487964.474970846029464,1402416.728244151687250,489869.730859171773773,1400766.728244151687250
431,431,489393.416887090308592,1441191.728244151920080,491298.672775416052900,1439541.728244151687250
432,432,489393.416887090308592,1439541.728244151687250,491298.672775416052900,1437891.728244151687250
433,433,489393.416887090308592,1437891.728244151687250,491298.672775416052900,1436241.728244151687250
434,434,489393.416887090308592,1436241.728244151687250,491298.672775416052900,1434591.728244151920080
435,435,489393.416887090308592,1434591.728244151920080,491298.672775416052900,1432941.728244151687250
436,436,489393.416887090308592,1432941.728244151687250,491298.672775416052900,1431291.728244151687250
437,437,489393.416887090308592,1431291.728244151687250,491298.672775416052900,1429641.728244151687250
438,438,489393.416887090308592,1429641.728244151687250,491298.672775416052900,1427991.728244151920080
439,439,489393.416887090308592,1427991.728244151920080,491298.672775416052900,1426341.728244151687250
440,440,489393.416887090308592,1426341.728244151687250,491298.672775416052900,1424691.728244151687250
441,441,489393.416887090308592,1424691.728244151687250,491298.672775416052900,1423041.728244151687250
442,442,489393.416887090308592,1423041.728244151687250,491298.672775416052900,1421391.728244151920080
443,443,489393.416887090308592,1421391.728244151920080,491298.672775416052900,1419741.728244151687250
444,444,489393.416887090308592,1419741.728244151687250,491298.672775416052900,1418091.728244151687250
445,445,489393.416887090308592,1418091.728244151687250,491298.672775416052900,1416441.728244151687250
446,446,489393.416887090308592,1416441.728244151687250,491298.672775416052900,1414791.728244151920080
447,447,489393.416887090308592,1414791.728244151920080,491298.672775416052900,1413141.728244151687250
448,448,489393.416887090308592,1413141.728244151687250,491298.672775416052900,1411491.728244151687250
449,449,489393.416887090308592,1411491.728244151687250,491298.672775416052900,1409841.728244151687250
450,450,489393.416887090308592,1409841.728244151687250,491298.672775416052900,1408191.728244151920080
451,451,489393.416887090308592,1408191.728244151920080,491298.672775416052900,1406541.728244151687250
452,452,489393.416887090308592,1406541.728244151687250,491298.672775416052900,1404891.728244151687250
453,453,489393.416887090308592,1404891.728244151687250,491298.672775416052900,1403241.728244151687250
454,454,489393.416887090308592,1403241.728244151687250,491298.672775416052900,1401591.728244151920080
464,464,490822.358803334587719,1443666.728244151687250,492727.614691660390235,1442016.728244151687250
465,465,490822.358803334587719,1442016.728244151687250,492727.614691660390235,1440366.728244151687250
466,466,490822.358803334587719,1440366.728244151687250,492727.614691660390235,1438716.728244151687250
467,467,490822.358803334587719,1438716.728244151687250,492727.614691660390235,1437066.728244151687250
468,468,490822.358803334587719,1437066.728244151687250,492727.614691660390235,1435416.728244151687250
469,469,490822.358803334587719,1435416.728244151687250,492727.614691660390235,1433766.728244151687250
470,470,490822.358803334587719,1433766.728244151687250,492727.614691660390235,1432116.728244151687250
471,471,490822.358803334587719,1432116.728244151687250,492727.614691660390235,1430466.728244151687250
472,472,490822.358803334587719,1430466.728244151687250,492727.614691660390235,1428816.728244151687250
473,473,490822.358803334587719,1428816.728244151687250,492727.614691660390235,1427166.728244151687250
474,474,490822.358803334587719,1427166.728244151687250,492727.614691660390235,1425516.728244151687250
475,475,490822.358803334587719,1425516.728244151687250,492727.614691660390235,1423866.728244151687250
476,476,490822.358803334587719,1423866.728244151687250,492727.614691660390235,1422216.728244151687250
477,477,490822.358803334587719,1422216.728244151687250,492727.614691660390235,1420566.728244151687250
478,478,490822.358803334587719,1420566.728244151687250,492727.614691660390235,1418916.728244151687250
479,479,490822.358803334587719,1418916.728244151687250,492727.614691660390235,1417266.728244151687250
480,480,490822.358803334587719,1417266.728244151687250,492727.614691660390235,1415616.728244151687250
481,481,490822.358803334587719,1415616.728244151687250,492727.614691660390235,1413966.728244151687250
482,482,490822.358803334587719,1413966.728244151687250,492727.614691660390235,1412316.728244151687250
483,483,490822.358803334587719,1412316.728244151687250,492727.614691660390235,1410666.728244151687250
484,484,490822.358803334587719,1410666.728244151687250,492727.614691660390235,1409016.728244151687250
485,485,490822.358803334587719,1409016.728244151687250,492727.614691660390235,1407366.728244151687250
486,486,490822.358803334587719,1407366.728244151687250,492727.614691660390235,1405716.728244151687250
487,487,490822.358803334587719,1405716.728244151687250,492727.614691660390235,1404066.728244151687250
488,488,490822.358803334587719,1404066.728244151687250,492727.614691660390235,1402416.728244151687250
497,497,492251.300719578925055,1447791.728244151920080,494156.556607904727571,1446141.728244151687250
498,498,492251.300719578925055,1446141.728244151687250,494156.556607904727571,1444491.728244151687250
499,499,492251.300719578925055,1444491.728244151687250,494156.556607904727571,1442841.728244151687250
500,500,492251.300719578925055,1442841.728244151687250,494156.556607904727571,1441191.728244151920080
