id,X,Y
678,500348.6382,1436241.728
679,500348.6382,1434591.728
680,500348.6382,1432941.728
681,500348.6382,1431291.728
682,500348.6382,1429641.728
683,500348.6382,1427991.728
684,500348.6382,1426341.728
685,500348.6382,1424691.728
686,500348.6382,1423041.728
687,500348.6382,1421391.728
688,500348.6382,1419741.728
689,500348.6382,1418091.728
690,500348.6382,1416441.728
691,500348.6382,1414791.728
692,500348.6382,1413141.728
693,500348.6382,1411491.728
694,500348.6382,1409841.728
695,500348.6382,1408191.728
696,500348.6382,1406541.728
697,500348.6382,1404891.728
698,500348.6382,1403241.728
701,501777.5802,1456866.728
702,501777.5802,1455216.728
703,501777.5802,1453566.728
704,501777.5802,1451916.728
705,501777.5802,1450266.728
706,501777.5802,1448616.728
707,501777.5802,1446966.728
708,501777.5802,1445316.728
709,501777.5802,1443666.728
710,501777.5802,1442016.728
711,501777.5802,1440366.728
712,501777.5802,1438716.728
713,501777.5802,1437066.728
714,501777.5802,1435416.728
715,501777.5802,1433766.728
716,501777.5802,1432116.728
717,501777.5802,1430466.728
718,501777.5802,1428816.728
719,501777.5802,1427166.728
720,501777.5802,1425516.728
721,501777.5802,1423866.728
722,501777.5802,1422216.728
723,501777.5802,1420566.728
724,501777.5802,1418916.728
725,501777.5802,1417266.728
726,501777.5802,1415616.728
727,501777.5802,1413966.728
728,501777.5802,1412316.728
729,501777.5802,1410666.728
730,501777.5802,1409016.728
731,501777.5802,1407366.728
732,501777.5802,1405716.728
733,501777.5802,1404066.728
736,503206.5221,1456041.728
737,503206.5221,1454391.728
738,503206.5221,1452741.728
739,503206.5221,1451091.728
740,503206.5221,1449441.728
741,503206.5221,1447791.728
742,503206.5221,1446141.728
743,503206.5221,1444491.728
744,503206.5221,1442841.728
745,503206.5221,1441191.728
746,503206.5221,1439541.728
747,503206.5221,1437891.728
748,503206.5221,1436241.728
749,503206.5221,1434591.728
750,503206.5221,1432941.728
751,503206.5221,1431291.728
752,503206.5221,1429641.728
753,503206.5221,1427991.728
754,503206.5221,1426341.728
755,503206.5221,1424691.728
756,503206.5221,1423041.728
757,503206.5221,1421391.728
758,503206.5221,1419741.728
759,503206.5221,1418091.728
760,503206.5221,1416441.728
761,503206.5221,1414791.728
762,503206.5221,1413141.728
763,503206.5221,1411491.728
764,503206.5221,1409841.728
765,503206.5221,1408191.728
766,503206.5221,1406541.728
767,503206.5221,1404891.728
768,503206.5221,1403241.728
772,504635.464,1455216.728
773,504635.464,1453566.728
774,504635.464,1451916.728
775,504635.464,1450266.728
776,504635.464,1448616.728
777,504635.464,1446966.728
778,504635.464,1445316.728
779,504635.464,1443666.728
780,504635.464,1442016.728
781,504635.464,1440366.728
782,504635.464,1438716.728
783,504635.464,1437066.728
784,504635.464,1435416.728
785,504635.464,1433766.728
786,504635.464,1432116.728
787,504635.464,1430466.728
788,504635.464,1428816.728
789,504635.464,1427166.728
790,504635.464,1425516.728
791,504635.464,1423866.728
792,504635.464,1422216.728
793,504635.464,1420566.728
794,504635.464,1418916.728
795,504635.464,1417266.728
796,504635.464,1415616.728
797,504635.464,1413966.728
798,504635.464,1412316.728
799,504635.464,1410666.728
800,504635.464,1409016.728
801,504635.464,1407366.728
802,504635.464,1405716.728
803,504635.464,1404066.728
807,506064.4059,1454391.728
808,506064.4059,1452741.728
809,506064.4059,1451091.728
810,506064.4059,1449441.728
811,506064.4059,1447791.728
812,506064.4059,1446141.728
813,506064.4059,1444491.728
814,506064.4059,1442841.728
815,506064.4059,1441191.728
816,506064.4059,1439541.728
817,506064.4059,1437891.728
818,506064.4059,1436241.728
819,506064.4059,1434591.728
820,506064.4059,1432941.728
821,506064.4059,1431291.728
822,506064.4059,1429641.728
823,506064.4059,1427991.728
824,506064.4059,1426341.728
825,506064.4059,1424691.728
826,506064.4059,1423041.728
827,506064.4059,1421391.728
828,506064.4059,1419741.728
829,506064.4059,1418091.728
830,506064.4059,1416441.728
831,506064.4059,1414791.728
832,506064.4059,1413141.728
833,506064.4059,1411491.728
834,506064.4059,1409841.728
835,506064.4059,1408191.728
836,506064.4059,1406541.728
837,506064.4059,1404891.728
838,506064.4059,1403241.728
843,507493.3478,1453566.728
844,507493.3478,1451916.728
845,507493.3478,1450266.728
846,507493.3478,1448616.728
847,507493.3478,1446966.728
848,507493.3478,1445316.728
849,507493.3478,1443666.728
850,507493.3478,1442016.728
851,507493.3478,1440366.728
852,507493.3478,1438716.728
853,507493.3478,1437066.728
854,507493.3478,1435416.728
855,507493.3478,1433766.728
856,507493.3478,1432116.728
857,507493.3478,1430466.728
858,507493.3478,1428816.728
859,507493.3478,1427166.728
860,507493.3478,1425516.728
861,507493.3478,1423866.728
862,507493.3478,1422216.728
863,507493.3478,1420566.728
864,507493.3478,1418916.728
865,507493.3478,1417266.728
866,507493.3478,1415616.728
867,507493.3478,1413966.728
868,507493.3478,1412316.728
869,507493.3478,1410666.728
870,507493.3478,1409016.728
871,507493.3478,1407366.728
872,507493.3478,1405716.728
873,507493.3478,1404066.728
878,508922.2897,1452741.728
879,508922.2897,1451091.728
880,508922.2897,1449441.728
881,508922.2897,1447791.728
882,508922.2897,1446141.728
883,508922.2897,1444491.728
884,508922.2897,1442841.728
885,508922.2897,1441191.728
886,508922.2897,1439541.728
887,508922.2897,1437891.728
888,508922.2897,1436241.728
889,508922.2897,1434591.728
890,508922.2897,1432941.728
891,508922.2897,1431291.728
892,508922.2897,1429641.728
893,508922.2897,1427991.728
894,508922.2897,1426341.728
895,508922.2897,1424691.728
896,508922.2897,1423041.728
897,508922.2897,1421391.728
898,508922.2897,1419741.728
899,508922.2897,1418091.728
900,508922.2897,1416441.728
901,508922.2897,1414791.728
902,508922.2897,1413141.728
903,508922.2897,1411491.728
904,508922.2897,1409841.728
