fid,LH,fid_2,id,left,top,right,bottom,geom_wkt
"1",1,129,129,476532.939640891330782,1418916.728244151687250,478438.195529217133299,1417266.728244151687250,"MultiPolygon (((120.78522913 12.82261468, 120.78961038 12.83007596, 120.79838597 12.83008309, 120.80277979 12.82262892, 120.79839828 12.81516785, 120.78962321 12.81516073, 120.78522913 12.82261468)))"
"1",1,130,130,476532.939640891330782,1417266.728244151687250,478438.195529217133299,1415616.728244151687250,"MultiPolygon (((120.78524221 12.80769944, 120.78962321 12.81516073, 120.79839828 12.81516785, 120.80279184 12.80771367, 120.79841058 12.80025259, 120.78963602 12.80024548, 120.78524221 12.80769944)))"
"1",1,131,131,476532.939640891330782,1415616.728244151687250,478438.195529217133299,1413966.728244151687250,"MultiPolygon (((120.78525528 12.79278419, 120.78963602 12.80024548, 120.79841058 12.80025259, 120.80280387 12.7927984, 120.79842286 12.78533732, 120.78964882 12.78533022, 120.78525528 12.79278419)))"
"1",1,132,132,476532.939640891330782,1413966.728244151687250,478438.195529217133299,1412316.728244151687250,"MultiPolygon (((120.78526832 12.77786892, 120.78964882 12.78533022, 120.79842286 12.78533732, 120.80281589 12.77788312, 120.79843513 12.77042203, 120.7896616 12.77041494, 120.78526832 12.77786892)))"
"1",1,133,133,476532.939640891330782,1412316.728244151687250,478438.195529217133299,1410666.728244151687250,"MultiPolygon (((120.78528135 12.76295364, 120.7896616 12.77041494, 120.79843513 12.77042203, 120.80282789 12.76296781, 120.79844738 12.75550672, 120.78967437 12.75549964, 120.78528135 12.76295364)))"
"1",1,161,161,477961.881557135668118,1424691.728244151687250,479867.137445461470634,1423041.728244151687250,"MultiPolygon (((120.79834894 12.8748287, 120.80273146 12.88228976, 120.81150887 12.88229647, 120.81590324 12.87484212, 120.81152046 12.86738128, 120.80274357 12.86737458, 120.79834894 12.8748287)))"
"1",1,162,162,477961.881557135668118,1423041.728244151687250,479867.137445461470634,1421391.728244151920080,"MultiPolygon (((120.7983613 12.85991352, 120.80274357 12.86737458, 120.81152046 12.86738128, 120.81591456 12.85992692, 120.81153203 12.85246607, 120.80275566 12.85245937, 120.7983613 12.85991352)))"
"1",1,163,163,477961.881557135668118,1421391.728244151920080,479867.137445461470634,1419741.728244151687250,"MultiPolygon (((120.79837364 12.84499831, 120.80275566 12.85245937, 120.81153203 12.85246607, 120.81592587 12.8450117, 120.81154359 12.83755085, 120.80276773 12.83754416, 120.79837364 12.84499831)))"
"1",1,164,164,477961.881557135668118,1419741.728244151687250,479867.137445461470634,1418091.728244151687250,"MultiPolygon (((120.79838597 12.83008309, 120.80276773 12.83754416, 120.81154359 12.83755085, 120.81593716 12.83009646, 120.81155513 12.8226356, 120.80277979 12.82262892, 120.79838597 12.83008309)))"
"1",1,165,165,477961.881557135668118,1418091.728244151687250,479867.137445461470634,1416441.728244151687250,"MultiPolygon (((120.79839828 12.81516785, 120.80277979 12.82262892, 120.81155513 12.8226356, 120.81594844 12.81518121, 120.81156666 12.80772034, 120.80279184 12.80771367, 120.79839828 12.81516785)))"
"1",1,166,166,477961.881557135668118,1416441.728244151687250,479867.137445461470634,1414791.728244151920080,"MultiPolygon (((120.79841058 12.80025259, 120.80279184 12.80771367, 120.81156666 12.80772034, 120.8159597 12.80026593, 120.81157818 12.79280507, 120.80280387 12.7927984, 120.79841058 12.80025259)))"
"1",1,167,167,477961.881557135668118,1414791.728244151920080,479867.137445461470634,1413141.728244151687250,"MultiPolygon (((120.79842286 12.78533732, 120.80280387 12.7927984, 120.81157818 12.79280507, 120.81597096 12.78535065, 120.81158968 12.77788978, 120.80281589 12.77788312, 120.79842286 12.78533732)))"
