fid,id,left,top,right,bottom,geom_wkt,fid_2,LH
125,125,476532.9396,1425516.728,478438.1955,1423866.728,"MultiPolygon (((120.78517666 12.88227545, 120.78955891 12.88973672, 120.79833657 12.88974388, 120.80273146 12.88228976, 120.79834894 12.8748287, 120.7895718 12.87482155, 120.78517666 12.88227545)))",,
126,126,476532.9396,1423866.728,478438.1955,1422216.728,"MultiPolygon (((120.7851898 12.86736028, 120.7895718 12.87482155, 120.79834894 12.8748287, 120.80274357 12.86737458, 120.7983613 12.85991352, 120.78958468 12.85990637, 120.7851898 12.86736028)))",3,2
127,127,476532.9396,1422216.728,478438.1955,1420566.728,"MultiPolygon (((120.78520293 12.8524451, 120.78958468 12.85990637, 120.7983613 12.85991352, 120.80275566 12.85245937, 120.79837364 12.84499831, 120.78959754 12.84499118, 120.78520293 12.8524451)))",1,1
128,128,476532.9396,1420566.728,478438.1955,1418916.728,"MultiPolygon (((120.78521604 12.8375299, 120.78959754 12.84499118, 120.79837364 12.84499831, 120.80276773 12.83754416, 120.79838597 12.83008309, 120.78961038 12.83007596, 120.78521604 12.8375299)))",3,2
129,129,476532.9396,1418916.728,478438.1955,1417266.728,"MultiPolygon (((120.78522913 12.82261468, 120.78961038 12.83007596, 120.79838597 12.83008309, 120.80277979 12.82262892, 120.79839828 12.81516785, 120.78962321 12.81516073, 120.78522913 12.82261468)))",1,1
130,130,476532.9396,1417266.728,478438.1955,1415616.728,"MultiPolygon (((120.78524221 12.80769944, 120.78962321 12.81516073, 120.79839828 12.81516785, 120.80279184 12.80771367, 120.79841058 12.80025259, 120.78963602 12.80024548, 120.78524221 12.80769944)))",3,2
131,131,476532.9396,1415616.728,478438.1955,1413966.728,"MultiPolygon (((120.78525528 12.79278419, 120.78963602 12.80024548, 120.79841058 12.80025259, 120.80280387 12.7927984, 120.79842286 12.78533732, 120.78964882 12.78533022, 120.78525528 12.79278419)))",3,2
132,132,476532.9396,1413966.728,478438.1955,1412316.728,"MultiPolygon (((120.78526832 12.77786892, 120.78964882 12.78533022, 120.79842286 12.78533732, 120.80281589 12.77788312, 120.79843513 12.77042203, 120.7896616 12.77041494, 120.78526832 12.77786892)))",1,1
133,133,476532.9396,1412316.728,478438.1955,1410666.728,"MultiPolygon (((120.78528135 12.76295364, 120.7896616 12.77041494, 120.79843513 12.77042203, 120.80282789 12.76296781, 120.79844738 12.75550672, 120.78967437 12.75549964, 120.78528135 12.76295364)))",3,2
134,134,476532.9396,1410666.728,478438.1955,1409016.728,"MultiPolygon (((120.78529437 12.74803833, 120.78967437 12.75549964, 120.79844738 12.75550672, 120.80283988 12.74805249, 120.79845962 12.7405914, 120.78968712 12.74058432, 120.78529437 12.74803833)))",,
135,135,476532.9396,1409016.728,478438.1955,1407366.728,"MultiPolygon (((120.78530737 12.73312301, 120.78968712 12.74058432, 120.79845962 12.7405914, 120.80285185 12.73313716, 120.79847184 12.72567606, 120.78969985 12.72566899, 120.78530737 12.73312301)))",,
136,136,476532.9396,1407366.728,478438.1955,1405716.728,"MultiPolygon (((120.78532035 12.71820768, 120.78969985 12.72566899, 120.79847184 12.72567606, 120.80286381 12.71822181, 120.79848405 12.7107607, 120.78971257 12.71075364, 120.78532035 12.71820768)))",,
154,154,477961.8816,1436241.728,479867.1374,1434591.728,"MultiPolygon (((120.79826202 12.97923455, 120.80264631 12.98669558, 120.81142737 12.98670235, 120.81582362 12.97924808, 120.81143906 12.97178727, 120.80265852 12.97178051, 120.79826202 12.97923455)))",,
155,155,477961.8816,1434591.728,479867.1374,1432941.728,"MultiPolygon (((120.79827448 12.96431948, 120.80265852 12.97178051, 120.81143906 12.97178727, 120.81583503 12.964333, 120.81145073 12.95687218, 120.80267071 12.95686543, 120.79827448 12.96431948)))",,
156,156,477961.8816,1432941.728,479867.1374,1431291.728,"MultiPolygon (((120.79828693 12.9494044, 120.80267071 12.95686543, 120.81145073 12.95687218, 120.81584644 12.94941789, 120.81146239 12.94195707, 120.80268289 12.94195033, 120.79828693 12.9494044)))",,
157,157,477961.8816,1431291.728,479867.1374,1429641.728,"MultiPolygon (((120.79829936 12.93448929, 120.80268289 12.94195033, 120.81146239 12.94195707, 120.81585783 12.93450277, 120.81147403 12.92704195, 120.80269506 12.92703521, 120.79829936 12.93448929)))",,
158,158,477961.8816,1429641.728,479867.1374,1427991.728,"MultiPolygon (((120.79831178 12.91957417, 120.80269506 12.92703521, 120.81147403 12.92704195, 120.8158692 12.91958764, 120.81148566 12.91212681, 120.80270721 12.91212008, 120.79831178 12.91957417)))",,
159,159,477961.8816,1427991.728,479867.1374,1426341.728,"MultiPolygon (((120.79832418 12.90465903, 120.80270721 12.91212008, 120.81148566 12.91212681, 120.81588056 12.90467248, 120.81149727 12.89721165, 120.80271934 12.89720493, 120.79832418 12.90465903)))",,
160,160,477961.8816,1426341.728,479867.1374,1424691.728,"MultiPolygon (((120.79833657 12.88974388, 120.80271934 12.89720493, 120.81149727 12.89721165, 120.81589191 12.88975731, 120.81150887 12.88229647, 120.80273146 12.88228976, 120.79833657 12.88974388)))",,
161,161,477961.8816,1424691.728,479867.1374,1423041.728,"MultiPolygon (((120.79834894 12.8748287, 120.80273146 12.88228976, 120.81150887 12.88229647, 120.81590324 12.87484212, 120.81152046 12.86738128, 120.80274357 12.86737458, 120.79834894 12.8748287)))",3,2
162,162,477961.8816,1423041.728,479867.1374,1421391.728,"MultiPolygon (((120.7983613 12.85991352, 120.80274357 12.86737458, 120.81152046 12.86738128, 120.81591456 12.85992692, 120.81153203 12.85246607, 120.80275566 12.85245937, 120.7983613 12.85991352)))",3,2
163,163,477961.8816,1421391.728,479867.1374,1419741.728,"MultiPolygon (((120.79837364 12.84499831, 120.80275566 12.85245937, 120.81153203 12.85246607, 120.81592587 12.8450117, 120.81154359 12.83755085, 120.80276773 12.83754416, 120.79837364 12.84499831)))",1,1
164,164,477961.8816,1419741.728,479867.1374,1418091.728,"MultiPolygon (((120.79838597 12.83008309, 120.80276773 12.83754416, 120.81154359 12.83755085, 120.81593716 12.83009646, 120.81155513 12.8226356, 120.80277979 12.82262892, 120.79838597 12.83008309)))",3,2
165,165,477961.8816,1418091.728,479867.1374,1416441.728,"MultiPolygon (((120.79839828 12.81516785, 120.80277979 12.82262892, 120.81155513 12.8226356, 120.81594844 12.81518121, 120.81156666 12.80772034, 120.80279184 12.80771367, 120.79839828 12.81516785)))",3,2
166,166,477961.8816,1416441.728,479867.1374,1414791.728,"MultiPolygon (((120.79841058 12.80025259, 120.80279184 12.80771367, 120.81156666 12.80772034, 120.8159597 12.80026593, 120.81157818 12.79280507, 120.80280387 12.7927984, 120.79841058 12.80025259)))",3,2
167,167,477961.8816,1414791.728,479867.1374,1413141.728,"MultiPolygon (((120.79842286 12.78533732, 120.80280387 12.7927984, 120.81157818 12.79280507, 120.81597096 12.78535065, 120.81158968 12.77788978, 120.80281589 12.77788312, 120.79842286 12.78533732)))",3,2
